"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-01","2010","01","01","","-25.4","","-34.5","","-30.0","","48.0","","0.0","","0.0","","0.0","T","0.0","T","23","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-02","2010","01","02","","-28.1","","-38.0","","-33.1","","51.1","","0.0","","0.0","","0.0","T","0.0","T","22","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-03","2010","01","03","","-28.6","","-36.2","","-32.4","","50.4","","0.0","","0.0","","0.0","T","0.0","T","22","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-04","2010","01","04","","-32.5","","-35.2","","-33.9","","51.9","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-05","2010","01","05","","-31.5","","-35.2","","-33.4","","51.4","","0.0","","0.0","","0.0","","0.0","","21","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-06","2010","01","06","","-20.7","","-32.6","","-26.7","","44.7","","0.0","","0.0","","0.2","","0.0","T","21","","15","","41",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-07","2010","01","07","","-18.8","","-24.9","","-21.9","","39.9","","0.0","","0.0","","0.0","T","0.0","T","21","","14","","37",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-08","2010","01","08","","-15.9","","-25.5","","-20.7","","38.7","","0.0","","0.0","","7.0","","5.8","","21","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-09","2010","01","09","","-16.4","","-25.8","","-21.1","","39.1","","0.0","","0.0","","3.6","","3.2","","27","","33","","48",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-10","2010","01","10","","-25.1","","-27.9","","-26.5","","44.5","","0.0","","0.0","","2.8","","1.8","","27","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-11","2010","01","11","","-22.1","","-26.8","","-24.5","","42.5","","0.0","","0.0","","9.0","","7.6","","31","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-12","2010","01","12","","-22.6","","-31.1","","-26.9","","44.9","","0.0","","0.0","","2.8","","2.4","","37","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-13","2010","01","13","","-22.4","","-32.9","","-27.7","","45.7","","0.0","","0.0","","0.2","","0.0","T","39","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-14","2010","01","14","","-24.6","","-35.4","","-30.0","","48.0","","0.0","","0.0","","3.2","","1.8","","39","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-15","2010","01","15","","-17.2","","-25.0","","-21.1","","39.1","","0.0","","0.0","","1.8","","0.8","","42","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-16","2010","01","16","","-16.7","","-28.1","","-22.4","","40.4","","0.0","","0.0","","0.4","","0.2","","39","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-17","2010","01","17","","-12.1","","-25.2","","-18.7","","36.7","","0.0","","0.0","","0.2","","0.0","T","38","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-18","2010","01","18","","-11.0","","-19.6","","-15.3","","33.3","","0.0","","0.0","","0.0","T","0.0","T","37","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-19","2010","01","19","","-13.4","","-19.4","","-16.4","","34.4","","0.0","","0.0","","0.2","","0.0","T","37","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-20","2010","01","20","","-13.0","","-17.5","","-15.3","","33.3","","0.0","","0.0","","0.0","T","0.0","T","37","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-21","2010","01","21","","-9.2","","-15.0","","-12.1","","30.1","","0.0","","0.0","","1.8","","0.6","","38","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-22","2010","01","22","","-10.5","","-12.9","","-11.7","","29.7","","0.0","","0.0","","1.2","","0.2","","40","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-23","2010","01","23","","-10.3","","-17.4","","-13.9","","31.9","","0.0","","0.0","","0.2","","0.0","T","41","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-24","2010","01","24","","-17.4","","-26.2","","-21.8","","39.8","","0.0","","0.0","","0.2","","0.0","T","40","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-25","2010","01","25","","-23.8","","-30.9","","-27.4","","45.4","","0.0","","0.0","","0.0","T","0.0","T","39","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-26","2010","01","26","","-20.3","","-27.7","","-24.0","","42.0","","0.0","","0.0","","0.0","","0.0","","39","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-27","2010","01","27","","-22.1","","-29.6","","-25.9","","43.9","","0.0","","0.0","","0.0","T","0.0","T","38","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-28","2010","01","28","","-23.2","","-30.1","","-26.7","","44.7","","0.0","","0.0","","0.0","","0.0","","38","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-29","2010","01","29","","-24.2","","-29.6","","-26.9","","44.9","","0.0","","0.0","","0.0","T","0.0","T","37","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-30","2010","01","30","","-29.0","","-33.4","","-31.2","","49.2","","0.0","","0.0","","0.0","","0.0","","37","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-01-31","2010","01","31","","-23.7","","-35.7","","-29.7","","47.7","","0.0","","0.0","","0.0","","0.0","","37","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-01","2010","02","01","","-21.8","","-28.1","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","36","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-02","2010","02","02","","-22.5","","-26.5","","-24.5","","42.5","","0.0","","0.0","","3.4","","2.6","","36","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-03","2010","02","03","","-24.4","","-34.6","","-29.5","","47.5","","0.0","","0.0","","1.2","","0.6","","38","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-04","2010","02","04","","-24.5","","-35.0","","-29.8","","47.8","","0.0","","0.0","","0.4","","0.2","","38","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-05","2010","02","05","","-12.6","","-24.6","","-18.6","","36.6","","0.0","","0.0","","0.2","","0.0","T","38","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-06","2010","02","06","","-9.8","","-15.5","","-12.7","","30.7","","0.0","","0.0","","0.2","","0.0","T","40","","14","","37",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-07","2010","02","07","","-7.7","","-10.0","","-8.9","","26.9","","0.0","","0.0","","0.0","T","0.0","T","39","","14","","39",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-08","2010","02","08","","-6.5","","-12.3","","-9.4","","27.4","","0.0","","0.0","","0.0","T","0.0","T","39","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-09","2010","02","09","","-7.5","","-14.1","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","39","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-10","2010","02","10","","-9.1","","-10.2","","-9.7","","27.7","","0.0","","0.0","","0.0","T","0.0","T","38","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-11","2010","02","11","","-9.2","","-13.2","","-11.2","","29.2","","0.0","","0.0","","1.0","","0.0","T","35","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-12","2010","02","12","","-13.0","","-19.5","","-16.3","","34.3","","0.0","","0.0","","0.4","","0.0","T","36","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-13","2010","02","13","","-9.1","","-13.1","","-11.1","","29.1","","0.0","","0.0","","0.0","T","0.0","T","35","","14","","32",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-14","2010","02","14","","-5.5","","-13.8","","-9.7","","27.7","","0.0","","0.0","","0.0","","0.0","","35","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-15","2010","02","15","","-7.4","","-14.5","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","33","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-16","2010","02","16","","-10.0","","-17.8","","-13.9","","31.9","","0.0","","0.0","","0.2","","0.0","T","33","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-17","2010","02","17","","-8.7","","-16.6","","-12.7","","30.7","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-18","2010","02","18","","-9.4","","-15.0","","-12.2","","30.2","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"-114.44","62.46","YELLOWKNIFE A","2204100","2010-02-19","2010","02","19","","-9.5","","-15.9","","-12.7","","30.7","","0.0","","0.0","","0.4","","0.2","","34","","","","<31",""
